time,captured
0.0,3.0
0.0021944046020507812,4.5
0.0031938552856445312,4.75
0.005194425582885742,4.375
0.006700277328491211,4.75
0.007705211639404297,0.75
0.00870513916015625,-1.125
0.009705305099487305,-4.125
0.012213945388793945,-5.25
0.013214111328125,-5.375
0.015213966369628906,-5.375
0.016216516494750977,-5.125
0.018213748931884766,-1.25
0.019214153289794922,0.5
0.020718097686767578,4.0
0.021723270416259766,4.625
0.023728132247924805,4.75
0.024727821350097656,4.375
0.02572798728942871,4.25
0.02823615074157715,-0.125
0.029236793518066406,-1.125
0.03074049949645996,-4.875
0.032746076583862305,-5.0
0.03374528884887695,-6.25
0.03574562072753906,-5.25
0.03574562072753906,-5.0
0.03825664520263672,-0.5
0.03925633430480957,1.125
0.04076027870178223,4.25
0.042769432067871094,4.5
0.043766021728515625,5.375
0.04576611518859863,4.25
0.04727005958557129,4.0
0.04827618598937988,-0.875
0.04927706718444824,-2.125
0.050783395767211914,-5.0
0.05278897285461426,-5.25
0.05378866195678711,-5.375
0.05578875541687012,-5.0
0.05729269981384277,-4.0
0.058298587799072266,0.625
0.05929732322692871,2.125
0.06180882453918457,4.375
0.06280851364135742,5.25
0.06380796432495117,5.625
0.06580805778503418,5.0
0.06731200218200684,3.25
0.06831717491149902,-0.875
0.06931805610656738,-3.125
0.07182955741882324,-4.5
0.07283282279968262,-5.875
0.0748293399810791,-5.375
0.07582998275756836,-5.0
0.07882928848266602,0.75
0.07983040809631348,2.875
0.08195281028747559,4.625
0.08295154571533203,4.875
0.08495402336120605,4.625
0.0859534740447998,5.125
0.0879523754119873,1.25
0.08895206451416016,-1.0
0.08995175361633301,-3.625
0.09145998954772949,-5.375
0.0934607982635498,-5.625
0.09446096420288086,-5.5
0.09546113014221191,-5.375
0.09797120094299316,-1.375
0.09897279739379883,0.375
0.10097050666809082,3.5
0.10207438468933105,4.625
0.10307431221008301,4.75
0.10507464408874512,4.375
0.1060791015625,4.625
0.10807418823242188,0.5
0.10907435417175293,-1.25
0.11107420921325684,-4.75
